,Reason_1,Reason_2,Reason_3,Reason_4,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
22,1,0,0,0,8,2,1,361,52,3,28,205.917,92,0,0,1,1,0,4,80,172,27,40
23,0,0,0,1,8,6,1,260,50,11,36,205.917,92,0,0,4,1,0,0,65,168,23,4
24,0,1,1,0,8,2,1,289,36,13,33,205.917,92,0,0,2,1,0,1,90,172,30,8
25,0,0,0,1,8,2,1,361,52,3,28,205.917,92,0,0,1,1,0,4,80,172,27,7
26,0,0,0,1,8,3,1,289,36,13,33,205.917,92,0,0,2,1,0,1,90,172,30,1
27,0,0,0,1,8,4,1,157,27,6,29,205.917,92,0,0,0,1,1,0,75,185,22,4
28,0,1,1,0,8,4,1,289,36,13,33,205.917,92,0,0,2,1,0,1,90,172,30,8
29,0,0,0,1,8,6,1,179,51,18,38,205.917,92,0,0,0,1,0,0,89,170,31,2
30,0,1,1,0,8,2,1,179,51,18,38,205.917,92,0,0,0,1,0,0,89,170,31,8
31,0,1,1,0,8,5,1,235,29,12,48,205.917,92,0,0,1,0,1,5,88,163,33,8
32,0,0,0,1,8,5,1,235,11,14,37,205.917,92,0,1,1,0,0,1,88,172,29,4
33,0,1,1,0,8,2,1,235,29,12,48,205.917,92,0,0,1,0,1,5,88,163,33,8
34,0,0,0,1,8,2,1,179,51,18,38,205.917,92,0,0,0,1,0,0,89,170,31,2
35,0,0,0,1,8,2,1,361,52,3,28,205.917,92,0,0,1,1,0,4,80,172,27,1
36,0,0,0,1,8,3,1,289,36,13,33,205.917,92,0,0,2,1,0,1,90,172,30,8
37,1,0,0,0,8,5,1,291,50,12,32,205.917,92,0,0,0,1,0,0,65,169,23,4
38,0,0,0,1,8,6,1,235,29,12,48,205.917,92,0,0,1,0,1,5,88,163,33,8
39,0,0,0,1,8,6,1,260,50,11,36,205.917,92,0,0,4,1,0,0,65,168,23,4
40,0,0,0,1,9,3,1,184,42,7,27,241.476,92,0,0,0,0,0,0,58,167,21,2
41,0,0,0,1,9,2,1,118,10,10,37,241.476,92,0,0,0,0,0,0,83,172,28,4
42,0,0,0,1,9,3,1,179,51,18,38,241.476,92,0,0,0,1,0,0,89,170,31,4
43,0,1,1,0,9,3,1,235,20,13,43,241.476,92,0,0,1,1,0,0,106,167,38,8
44,0,0,0,1,9,4,1,155,12,14,34,241.476,92,0,0,2,1,0,0,95,196,25,2
45,0,0,0,1,9,2,1,118,10,10,37,241.476,92,0,0,0,0,0,0,83,172,28,3
46,0,0,0,1,9,3,1,179,51,18,38,241.476,92,0,0,0,1,0,0,89,170,31,3
47,0,0,0,1,9,5,1,291,31,12,40,241.476,92,0,0,1,1,0,1,73,171,25,4
48,0,0,0,1,9,6,1,260,50,11,36,241.476,92,0,0,4,1,0,0,65,168,23,8
49,1,0,0,0,9,2,4,291,31,12,40,241.476,92,0,0,1,1,0,1,73,171,25,32
50,0,0,0,0,9,2,4,260,50,11,36,241.476,92,1,0,4,1,0,0,65,168,23,0
51,0,0,0,0,9,2,4,225,26,9,28,241.476,92,1,0,1,0,0,2,69,169,24,0
52,0,0,0,1,9,3,4,225,26,9,28,241.476,92,0,0,1,0,0,2,69,169,24,2
53,0,0,0,1,9,3,4,118,10,10,37,241.476,92,0,0,0,0,0,0,83,172,28,2
54,0,0,0,0,9,3,4,289,36,13,33,241.476,92,1,0,2,1,0,1,90,172,30,0
55,0,0,0,0,9,3,4,118,13,18,50,241.476,92,1,0,1,1,0,0,98,178,31,0
56,0,1,1,0,9,4,4,225,26,9,28,241.476,92,0,0,1,0,0,2,69,169,24,3
57,0,0,0,1,9,4,4,179,51,18,38,241.476,92,0,0,0,1,0,0,89,170,31,3
58,0,0,0,0,9,4,4,369,17,12,31,241.476,92,1,0,3,1,0,0,70,169,25,0
59,0,0,0,1,9,6,4,248,25,14,47,241.476,92,0,0,2,0,0,1,86,165,32,1
60,0,0,0,1,9,6,4,179,51,18,38,241.476,92,0,0,0,1,0,0,89,170,31,3
61,0,0,0,1,9,6,4,260,50,11,36,241.476,92,0,0,4,1,0,0,65,168,23,4
62,0,0,0,1,10,3,4,179,51,18,38,253.465,93,0,0,0,1,0,0,89,170,31,3
63,0,0,0,1,10,3,4,118,10,10,37,253.465,93,0,0,0,0,0,0,83,172,28,3
64,0,0,0,0,10,4,4,118,13,18,50,253.465,93,1,0,1,1,0,0,98,178,31,0
65,0,0,0,1,10,5,4,179,26,9,30,253.465,93,0,1,0,0,0,0,56,171,19,1
66,0,0,0,1,10,6,4,179,51,18,38,253.465,93,0,0,0,1,0,0,89,170,31,3
67,0,0,0,1,10,6,4,225,26,9,28,253.465,93,0,0,1,0,0,2,69,169,24,3
68,0,0,0,1,10,3,4,118,10,10,37,253.465,93,0,0,0,0,0,0,83,172,28,3
69,0,0,0,1,10,4,4,225,26,9,28,253.465,93,0,0,1,0,0,2,69,169,24,2
70,0,0,0,1,10,4,4,248,25,14,47,253.465,93,0,0,2,0,0,1,86,165,32,2
71,0,0,0,1,10,5,4,291,31,12,40,253.465,93,0,0,1,1,0,1,73,171,25,5
72,0,0,0,1,10,4,4,179,51,18,38,253.465,93,0,0,0,1,0,0,89,170,31,8
73,0,0,0,1,10,4,4,225,26,9,28,253.465,93,0,0,1,0,0,2,69,169,24,3
74,0,1,1,0,10,5,4,260,50,11,36,253.465,93,0,0,4,1,0,0,65,168,23,16
75,1,0,0,0,10,3,4,291,31,12,40,253.465,93,0,0,1,1,0,1,73,171,25,8
76,0,0,0,1,10,3,4,225,26,9,28,253.465,93,0,0,1,0,0,2,69,169,24,2
77,0,0,0,1,10,4,4,289,36,13,33,253.465,93,0,0,2,1,0,1,90,172,30,8
78,0,0,0,1,10,6,4,361,52,3,28,253.465,93,0,0,1,1,0,4,80,172,27,1
79,0,0,0,1,10,6,4,260,50,11,36,253.465,93,0,0,4,1,0,0,65,168,23,3
80,0,0,0,1,11,5,4,179,51,18,38,306.345,93,0,0,0,1,0,0,89,170,31,1
81,0,0,0,1,11,4,4,225,26,9,28,306.345,93,0,0,1,0,0,2,69,169,24,1
82,1,0,0,0,11,5,4,179,51,18,38,306.345,93,0,0,0,1,0,0,89,170,31,8
83,0,1,1,0,11,5,4,179,22,17,40,306.345,93,0,1,2,0,1,0,63,170,22,8
84,0,0,0,1,11,5,4,291,31,12,40,306.345,93,0,0,1,1,0,1,73,171,25,5
85,1,0,0,0,11,2,4,155,12,14,34,306.345,93,0,0,2,1,0,0,95,196,25,32
86,0,0,0,1,11,2,4,189,29,13,33,306.345,93,0,0,2,0,0,2,69,167,25,8
87,1,0,0,0,11,2,4,291,31,12,40,306.345,93,0,0,1,1,0,1,73,171,25,40
88,0,0,0,1,11,4,4,225,26,9,28,306.345,93,0,0,1,0,0,2,69,169,24,1
89,1,0,0,0,11,6,4,155,12,14,34,306.345,93,0,0,2,1,0,0,95,196,25,8
90,0,0,0,1,11,4,4,225,26,9,28,306.345,93,0,0,1,0,0,2,69,169,24,3
91,0,1,1,0,11,4,4,179,22,17,40,306.345,93,0,1,2,0,1,0,63,170,22,8
92,1,0,0,0,11,6,4,225,26,9,28,306.345,93,0,0,1,0,0,2,69,169,24,3
93,0,0,0,1,11,6,4,260,50,11,36,306.345,93,0,0,4,1,0,0,65,168,23,4
94,0,0,0,1,11,2,4,248,25,14,47,306.345,93,0,0,2,0,0,1,86,165,32,1
95,0,0,0,1,11,3,4,225,26,9,28,306.345,93,0,0,1,0,0,2,69,169,24,3
96,1,0,0,0,11,4,4,289,36,13,33,306.345,93,0,0,2,1,0,1,90,172,30,24
97,0,0,0,1,11,5,4,291,31,12,40,306.345,93,0,0,1,1,0,1,73,171,25,3
98,0,0,0,1,12,3,4,248,25,14,47,261.306,97,0,0,2,0,0,1,86,165,32,1
99,0,1,1,0,12,3,4,118,10,10,37,261.306,97,0,0,0,0,0,0,83,172,28,64
100,0,0,0,1,12,4,4,118,13,18,50,261.306,97,0,0,1,1,0,0,98,178,31,2
101,0,0,0,1,12,4,4,235,11,14,37,261.306,97,0,1,1,0,0,1,88,172,29,8
102,0,0,0,1,12,5,4,225,26,9,28,261.306,97,0,0,1,0,0,2,69,169,24,2
103,0,0,0,1,12,6,4,260,50,11,36,261.306,97,0,0,4,1,0,0,65,168,23,8
104,0,1,1,0,12,3,4,118,10,10,37,261.306,97,0,0,0,0,0,0,83,172,28,56
105,0,0,0,1,12,4,4,361,52,3,28,261.306,97,0,0,1,1,0,4,80,172,27,8
106,0,0,0,1,12,5,4,225,26,9,28,261.306,97,0,0,1,0,0,2,69,169,24,3
107,0,0,0,1,12,6,4,260,50,11,36,261.306,97,0,0,4,1,0,0,65,168,23,3
108,0,0,0,1,12,3,4,225,26,9,28,261.306,97,0,0,1,0,0,2,69,169,24,2
109,0,0,0,1,12,4,4,361,52,3,28,261.306,97,0,0,1,1,0,4,80,172,27,8
110,0,0,0,1,12,6,4,118,10,10,37,261.306,97,0,0,0,0,0,0,83,172,28,2
111,0,1,1,0,12,6,2,246,25,16,41,261.306,97,0,0,0,1,0,0,67,170,23,8
112,0,0,0,1,12,6,2,225,26,9,28,261.306,97,0,0,1,0,0,2,69,169,24,2
113,0,0,0,1,1,4,2,225,26,9,28,308.593,95,0,0,1,0,0,2,69,169,24,1
114,0,1,1,0,1,2,2,118,10,10,37,308.593,95,0,0,0,0,0,0,83,172,28,1
115,0,0,0,1,1,3,2,118,10,10,37,308.593,95,0,0,0,0,0,0,83,172,28,1
116,0,1,1,0,1,3,2,155,12,14,34,308.593,95,0,0,2,1,0,0,95,196,25,8
117,0,0,0,1,1,4,2,225,26,9,28,308.593,95,0,0,1,0,0,2,69,169,24,2
118,0,0,0,1,1,5,2,184,42,7,27,308.593,95,0,0,0,0,0,0,58,167,21,2
119,0,0,0,1,1,5,2,225,26,9,28,308.593,95,0,0,1,0,0,2,69,169,24,2
120,0,0,0,1,1,6,2,225,26,9,28,308.593,95,0,0,1,0,0,2,69,169,24,1
121,0,0,0,1,1,2,2,118,10,10,37,308.593,95,0,0,0,0,0,0,83,172,28,2
122,0,0,0,1,1,3,2,225,26,9,28,308.593,95,0,0,1,0,0,2,69,169,24,2
123,0,0,0,1,1,3,2,118,10,10,37,308.593,95,0,0,0,0,0,0,83,172,28,2
124,0,0,0,1,1,4,2,118,10,10,37,308.593,95,0,0,0,0,0,0,83,172,28,2
125,0,0,0,1,1,5,2,118,10,10,37,308.593,95,0,0,0,0,0,0,83,172,28,2
126,0,0,0,1,1,6,2,118,10,10,37,308.593,95,0,0,0,0,0,0,83,172,28,2
127,0,0,0,1,1,2,2,118,10,10,37,308.593,95,0,0,0,0,0,0,83,172,28,2
128,0,0,0,1,1,3,2,118,10,10,37,308.593,95,0,0,0,0,0,0,83,172,28,2
129,0,1,1,0,1,3,2,179,26,9,30,308.593,95,0,1,0,0,0,0,56,171,19,8
130,0,1,1,0,1,3,2,289,36,13,33,308.593,95,0,0,2,1,0,1,90,172,30,8
131,0,0,0,1,1,4,2,118,10,10,37,308.593,95,0,0,0,0,0,0,83,172,28,2
132,0,0,0,1,1,5,2,184,42,7,27,308.593,95,0,0,0,0,0,0,58,167,21,2
133,0,0,0,1,1,5,2,118,10,10,37,308.593,95,0,0,0,0,0,0,83,172,28,2
134,0,0,0,1,1,2,2,118,10,10,37,308.593,95,0,0,0,0,0,0,83,172,28,0
135,0,0,0,1,1,3,2,225,26,9,28,308.593,95,0,0,1,0,0,2,69,169,24,1
136,0,0,0,1,1,5,2,289,36,13,33,308.593,95,0,0,2,1,0,1,90,172,30,3
137,0,0,0,1,2,6,2,184,42,7,27,302.585,99,0,0,0,0,0,0,58,167,21,1
138,1,0,0,0,2,4,2,246,25,16,41,302.585,99,0,0,0,1,0,0,67,170,23,8
139,1,0,0,0,2,4,2,179,51,18,38,302.585,99,0,0,0,1,0,0,89,170,31,8
140,0,0,0,1,2,5,2,155,12,14,34,302.585,99,0,0,2,1,0,0,95,196,25,2
141,0,0,0,1,2,5,2,189,29,13,33,302.585,99,0,0,2,0,0,2,69,167,25,8
142,0,0,0,1,2,6,2,260,50,11,36,302.585,99,0,0,4,1,0,0,65,168,23,2
143,0,0,0,1,2,6,2,289,36,13,33,302.585,99,0,0,2,1,0,1,90,172,30,8
144,1,0,0,0,2,2,2,388,15,9,50,302.585,99,0,0,0,0,0,0,76,178,24,8
145,1,0,0,0,2,3,2,388,15,9,50,302.585,99,0,0,0,0,0,0,76,178,24,8
146,0,0,0,1,2,2,2,225,26,9,28,302.585,99,0,0,1,0,0,2,69,169,24,2
147,0,0,0,1,2,3,2,225,26,9,28,302.585,99,0,0,1,0,0,2,69,169,24,2
148,0,0,0,1,2,3,2,179,26,9,30,302.585,99,0,1,0,0,0,0,56,171,19,1
149,0,0,0,1,2,3,2,184,42,7,27,302.585,99,0,0,0,0,0,0,58,167,21,8
150,0,0,0,1,2,5,2,225,26,9,28,302.585,99,0,0,1,0,0,2,69,169,24,3
151,0,1,1,0,2,2,2,330,16,4,28,302.585,99,0,1,0,0,0,0,84,182,25,8
152,0,0,0,1,2,3,2,330,16,4,28,302.585,99,0,1,0,0,0,0,84,182,25,1
153,0,0,0,1,2,4,2,225,26,9,28,302.585,99,0,0,1,0,0,2,69,169,24,1
154,0,1,1,0,2,5,2,189,29,13,33,302.585,99,0,0,2,0,0,2,69,167,25,8
155,0,0,0,1,3,3,2,291,50,12,32,343.253,95,0,0,0,1,0,0,65,169,23,2
156,0,1,1,0,3,3,2,260,50,11,36,343.253,95,0,0,4,1,0,0,65,168,23,8
157,0,1,1,0,3,3,2,157,27,6,29,343.253,95,0,0,0,1,1,0,75,185,22,3
158,0,0,0,0,3,3,2,179,22,17,40,343.253,95,0,1,2,0,1,0,63,170,22,8
159,0,0,0,1,3,4,2,291,31,12,40,343.253,95,0,0,1,1,0,1,73,171,25,8
160,1,0,0,0,3,4,2,260,50,11,36,343.253,95,0,0,4,1,0,0,65,168,23,8
161,1,0,0,0,3,5,2,179,26,9,30,343.253,95,0,1,0,0,0,0,56,171,19,8
162,1,0,0,0,3,6,2,248,25,14,47,343.253,95,0,0,2,0,0,1,86,165,32,3
163,1,0,0,0,3,6,2,260,50,11,36,343.253,95,0,0,4,1,0,0,65,168,23,40
164,1,0,0,0,3,2,2,179,22,17,40,343.253,95,0,1,2,0,1,0,63,170,22,40
165,1,0,0,0,3,2,2,155,12,14,34,343.253,95,0,0,2,1,0,0,95,196,25,16
166,0,0,0,1,3,2,2,260,50,11,36,343.253,95,0,0,4,1,0,0,65,168,23,16
167,1,0,0,0,3,3,2,155,12,14,34,343.253,95,0,0,2,1,0,0,95,196,25,8
168,1,0,0,0,3,5,2,289,36,13,33,343.253,95,0,0,2,1,0,1,90,172,30,8
169,1,0,0,0,3,5,2,179,22,17,40,343.253,95,0,1,2,0,1,0,63,170,22,8
170,0,0,0,1,3,6,2,260,50,11,36,343.253,95,0,0,4,1,0,0,65,168,23,4
171,0,0,0,1,3,6,2,225,26,9,28,343.253,95,0,0,1,0,0,2,69,169,24,1
172,1,0,0,0,3,2,2,279,5,14,39,343.253,95,0,0,2,1,1,0,68,168,24,8
173,1,0,0,0,3,3,2,179,51,18,38,343.253,95,0,0,0,1,0,0,89,170,31,24
174,0,0,0,1,3,4,2,225,26,9,28,343.253,95,0,0,1,0,0,2,69,169,24,2
175,1,0,0,0,3,2,3,225,26,9,28,343.253,95,0,0,1,0,0,2,69,169,24,8
176,1,0,0,0,3,2,3,179,26,9,30,343.253,95,0,1,0,0,0,0,56,171,19,1
177,1,0,0,0,3,3,3,225,26,9,28,343.253,95,0,0,1,0,0,2,69,169,24,8
178,1,0,0,0,3,4,3,225,26,9,28,343.253,95,0,0,1,0,0,2,69,169,24,16
179,1,0,0,0,3,4,3,179,51,18,38,343.253,95,0,0,0,1,0,0,89,170,31,3
180,1,0,0,0,3,5,3,279,5,14,39,343.253,95,0,0,2,1,1,0,68,168,24,16
181,0,0,0,1,3,6,3,225,26,9,28,343.253,95,0,0,1,0,0,2,69,169,24,2
182,1,0,0,0,3,6,3,248,25,14,47,343.253,95,0,0,2,0,0,1,86,165,32,3
183,0,0,0,1,3,2,3,225,26,9,28,343.253,95,0,0,1,0,0,2,69,169,24,1
184,0,0,0,1,4,4,3,291,31,12,40,326.452,96,0,0,1,1,0,1,73,171,25,1
185,0,0,0,1,4,4,3,225,26,9,28,326.452,96,0,0,1,0,0,2,69,169,24,1
186,0,0,0,1,4,3,3,155,12,14,34,326.452,96,0,0,2,1,0,0,95,196,25,1
187,1,0,0,0,4,4,3,246,25,16,41,326.452,96,0,0,0,1,0,0,67,170,23,24
188,0,0,0,1,4,5,3,155,12,14,34,326.452,96,0,0,2,1,0,0,95,196,25,1
189,0,0,0,1,4,6,3,225,26,9,28,326.452,96,0,0,1,0,0,2,69,169,24,2
190,0,0,0,1,4,6,3,260,50,11,36,326.452,96,0,0,4,1,0,0,65,168,23,4
191,1,0,0,0,4,4,3,179,51,18,38,326.452,96,0,0,0,1,0,0,89,170,31,24
192,0,0,0,1,4,5,3,118,13,18,50,326.452,96,0,0,1,1,0,0,98,178,31,1
193,0,0,0,1,4,6,3,291,31,12,40,326.452,96,0,0,1,1,0,1,73,171,25,3
194,1,0,0,0,4,6,3,246,25,16,41,326.452,96,0,0,0,1,0,0,67,170,23,8
195,0,0,0,1,4,6,3,291,31,12,40,326.452,96,0,0,1,1,0,1,73,171,25,1
196,0,0,0,1,4,6,3,248,25,14,47,326.452,96,0,0,2,0,0,1,86,165,32,8
197,0,1,1,0,4,6,3,260,50,11,36,326.452,96,0,0,4,1,0,0,65,168,23,56
198,0,1,1,0,4,3,3,289,36,13,33,326.452,96,0,0,2,1,0,1,90,172,30,8
199,1,0,0,0,4,4,3,155,12,14,34,326.452,96,0,0,2,1,0,0,95,196,25,24
200,0,1,1,0,4,4,3,378,49,11,36,326.452,96,0,0,2,0,1,4,65,174,21,8
201,1,0,0,0,4,5,3,289,36,13,33,326.452,96,0,0,2,1,0,1,90,172,30,16
202,1,0,0,0,4,6,3,235,11,14,37,326.452,96,0,1,1,0,0,1,88,172,29,3
203,0,0,0,0,4,2,3,235,29,12,48,326.452,96,1,0,1,0,1,5,88,163,33,0
204,1,0,0,0,5,4,3,289,36,13,33,378.884,92,0,0,2,1,0,1,90,172,30,8
205,0,0,0,1,5,5,3,155,12,14,34,378.884,92,0,0,2,1,0,0,95,196,25,2
206,0,0,0,1,5,2,3,155,12,14,34,378.884,92,0,0,2,1,0,0,95,196,25,1
207,0,1,1,0,5,3,3,179,51,18,38,378.884,92,0,0,0,1,0,0,89,170,31,8
208,0,1,1,0,5,3,3,225,26,9,28,378.884,92,0,0,1,0,0,2,69,169,24,8
209,1,0,0,0,5,4,3,184,42,7,27,378.884,92,0,0,0,0,0,0,58,167,21,4
210,0,0,0,1,5,2,3,155,12,14,34,378.884,92,0,0,2,1,0,0,95,196,25,2
211,1,0,0,0,5,3,3,179,51,18,38,378.884,92,0,0,0,1,0,0,89,170,31,1
212,1,0,0,0,5,4,3,289,36,13,33,378.884,92,0,0,2,1,0,1,90,172,30,24
213,0,0,0,0,5,4,3,279,5,14,39,378.884,92,1,0,2,1,1,0,68,168,24,0
214,0,0,0,0,5,4,3,330,16,4,28,378.884,92,1,1,0,0,0,0,84,182,25,0
215,0,0,0,0,5,4,3,378,49,11,36,378.884,92,1,0,2,0,1,4,65,174,21,0
216,0,0,0,0,5,4,3,388,15,9,50,378.884,92,1,0,0,0,0,0,76,178,24,0
217,1,0,0,0,5,3,3,179,51,18,38,378.884,92,0,0,0,1,0,0,89,170,31,1
218,1,0,0,0,5,4,3,118,13,18,50,378.884,92,0,0,1,1,0,0,98,178,31,24
219,0,0,0,1,5,6,3,361,52,3,28,378.884,92,0,0,1,1,0,4,80,172,27,8
220,0,1,1,0,6,2,3,246,25,16,41,377.55,94,0,0,0,1,0,0,67,170,23,8
221,0,0,0,1,6,2,3,361,52,3,28,377.55,94,0,0,1,1,0,4,80,172,27,8
222,1,0,0,0,6,3,3,246,25,16,41,377.55,94,0,0,0,1,0,0,67,170,23,24
223,0,0,0,1,6,5,3,291,31,12,40,377.55,94,0,0,1,1,0,1,73,171,25,4
224,1,0,0,0,6,6,3,246,25,16,41,377.55,94,0,0,0,1,0,0,67,170,23,8
225,1,0,0,0,6,2,3,179,51,18,38,377.55,94,0,0,0,1,0,0,89,170,31,8
226,0,0,0,1,6,2,3,155,12,14,34,377.55,94,0,0,2,1,0,0,95,196,25,4
227,1,0,0,0,6,2,3,246,25,16,41,377.55,94,0,0,0,1,0,0,67,170,23,8
228,1,0,0,0,6,4,3,118,13,18,50,377.55,94,0,0,1,1,0,0,98,178,31,8
229,1,0,0,0,6,6,3,235,11,14,37,377.55,94,0,1,1,0,0,1,88,172,29,16
230,0,0,0,1,6,3,3,118,13,18,50,377.55,94,0,0,1,1,0,0,98,178,31,1
231,1,0,0,0,6,4,3,118,13,18,50,377.55,94,0,0,1,1,0,0,98,178,31,80
232,0,0,0,1,6,5,3,378,49,11,36,377.55,94,0,0,2,0,1,4,65,174,21,8
233,1,0,0,0,6,6,3,179,51,18,38,377.55,94,0,0,0,1,0,0,89,170,31,2
234,0,0,0,1,6,2,1,289,48,29,49,377.55,94,0,0,0,0,0,2,108,172,36,2
235,0,0,0,1,6,5,1,225,26,9,28,377.55,94,0,0,1,0,0,2,69,169,24,2
236,0,1,1,0,7,3,1,155,12,14,34,275.312,98,0,0,2,1,0,0,95,196,25,16
237,1,0,0,0,7,4,1,118,13,18,50,275.312,98,0,0,1,1,0,0,98,178,31,8
238,1,0,0,0,7,6,1,118,10,10,37,275.312,98,0,0,0,0,0,0,83,172,28,8
239,0,0,0,1,7,6,1,118,10,10,37,275.312,98,0,0,0,0,0,0,83,172,28,4
240,0,0,0,1,7,3,1,330,16,4,28,275.312,98,0,1,0,0,0,0,84,182,25,8
241,0,1,1,0,7,5,1,179,26,9,30,275.312,98,0,1,0,0,0,0,56,171,19,8
242,0,0,0,1,7,6,1,155,12,14,34,275.312,98,0,0,2,1,0,0,95,196,25,2
243,1,0,0,0,7,2,1,330,16,4,28,275.312,98,0,1,0,0,0,0,84,182,25,8
244,1,0,0,0,7,3,1,330,16,4,28,275.312,98,0,1,0,0,0,0,84,182,25,8
245,0,0,0,1,7,2,1,157,27,6,29,275.312,98,0,0,0,1,1,0,75,185,22,3
246,0,0,0,1,7,3,1,361,52,3,28,275.312,98,0,0,1,1,0,4,80,172,27,8
247,0,0,0,1,7,4,1,289,36,13,33,275.312,98,0,0,2,1,0,1,90,172,30,8
248,0,0,0,1,7,5,1,179,51,18,38,275.312,98,0,0,0,1,0,0,89,170,31,8
249,0,1,1,0,7,2,1,289,36,13,33,275.312,98,0,0,2,1,0,1,90,172,30,32
250,0,1,1,0,7,5,1,289,36,13,33,275.312,98,0,0,2,1,0,1,90,172,30,8
251,0,0,0,0,7,5,1,260,50,11,36,275.312,98,1,0,4,1,0,0,65,168,23,0
252,0,1,1,0,8,6,1,289,36,13,33,265.615,94,0,0,2,1,0,1,90,172,30,8
253,0,1,1,0,8,6,1,157,27,6,29,265.615,94,0,0,0,1,1,0,75,185,22,3
254,0,0,0,1,8,2,1,289,36,13,33,265.615,94,0,0,2,1,0,1,90,172,30,1
255,0,1,1,0,8,3,1,228,14,16,58,265.615,94,0,0,2,0,0,1,65,172,22,8
256,1,0,0,0,8,5,1,300,26,13,43,265.615,94,0,0,2,1,1,1,77,175,25,1
257,1,0,0,0,8,5,1,300,26,13,43,265.615,94,0,0,2,1,1,1,77,175,25,2
258,0,0,0,1,8,6,1,260,50,11,36,265.615,94,0,0,4,1,0,0,65,168,23,4
259,0,0,0,1,8,3,1,289,36,13,33,265.615,94,0,0,2,1,0,1,90,172,30,4
260,0,0,0,1,8,4,1,248,25,14,47,265.615,94,0,0,2,0,0,1,86,165,32,1
261,1,0,0,0,8,5,1,268,11,8,33,265.615,94,0,1,0,0,0,0,79,178,25,8
262,0,0,0,1,8,5,1,179,26,9,30,265.615,94,0,1,0,0,0,0,56,171,19,1
263,1,0,0,0,8,5,1,118,13,18,50,265.615,94,0,0,1,1,0,0,98,178,31,3
264,0,0,0,1,8,2,1,248,25,14,47,265.615,94,0,0,2,0,0,1,86,165,32,2
265,0,0,0,1,8,3,1,235,11,14,37,265.615,94,0,1,1,0,0,1,88,172,29,1
266,0,0,0,1,8,5,1,118,13,18,50,265.615,94,0,0,1,1,0,0,98,178,31,1
267,0,1,1,0,8,5,1,235,11,14,37,265.615,94,0,1,1,0,0,1,88,172,29,8
268,1,0,0,0,8,3,1,361,52,3,28,265.615,94,0,0,1,1,0,4,80,172,27,8
269,1,0,0,0,8,4,1,184,42,7,27,265.615,94,0,0,0,0,0,0,58,167,21,8
270,1,0,0,0,9,2,1,179,51,18,38,294.217,81,0,0,0,1,0,0,89,170,31,8
271,0,0,0,1,9,6,1,179,51,18,38,294.217,81,0,0,0,1,0,0,89,170,31,3
272,0,1,1,0,9,4,1,289,36,13,33,294.217,81,0,0,2,1,0,1,90,172,30,24
273,0,0,0,0,9,5,1,235,20,13,43,294.217,81,1,0,1,1,0,0,106,167,38,0
